magnitude;time
1;21.33653503158834
1;21.336838055657584
1;21.58313687272844
1;21.587515783926253
1;21.588924205656546
1;21.601126259374432
1;21.612035125867237
1;21.615206208732708
1;21.620063129729896
13;21.634326600707574
1;21.644044710646583
1;21.65902519632332
5;21.660766517735315
1;21.662055437015763
1;21.663186442344635
1;21.66548686450411
2;21.687133879704223
1;21.689980598777268
1;21.699442632038043
1;21.724375964608836
1;21.831437355834165
1;21.832124494920762
2;21.947768722811592
8;21.953231691947266
1;21.955591865331666
6;21.956488133705488
1;21.956769818051544
1;21.958212383338935
1;21.9587586802525
1;21.958775752031052
2;21.971152791479067
3;21.97213868669027
1;21.97331237146551
1;21.973414802136805
1;21.981259284380066
1;21.981417198331645
13;21.984554137640018
1;21.99387106078313
1;22.009956944120912
1;22.0183434553331
1;22.018646479402346
1;22.033426371681127
2;22.03959355168195
1;22.039802680969174
1;22.047066722741768
1;22.05366496515095
1;22.054142974950324
1;22.054868525538655
6;22.062823974342482
1;22.06795831174109
1;22.069486235921225
3;22.069891690661763
1;22.070100819948987
1;22.070263001845202
1;22.070975748599622
2;22.071654351796944
1;22.08221751477413
1;22.084138089860893
1;22.084244788476823
2;22.31610941678451
1;22.31618623978798
1;22.31744101551133
1;22.321324845131226
1;22.325639737159484
1;22.340082461811924
1;22.355301952388345
1;22.35700059435397
2;22.39962882539079
1;22.407571470360704
1;22.409026839482003
1;22.418727877642468
1;22.41909065293663
1;22.4322188506408
1;22.43939753352065
1;22.448364485203506
1;22.457152183211598
1;22.68322947859118
2;22.697851456918386
1;22.698538596004983
1;22.698628222842363
2;22.71627617391738
1;22.720066108755255
1;22.724585862126098
1;22.725627240617584
1;22.734120450445705
3;22.754521225811743
1;22.754657800040135
1;22.757726452234316
1;22.75784168673952
1;22.75804654808211
1;22.7598561566083
1;22.786556418258915
1;22.790086008473917
3;23.798853134988857
1;23.803936257051816
1;23.822911538909015
7;23.82543389418963
1;23.8255107171931
1;23.8269660863144
14;23.83281317046743
1;23.834102089747876
1;23.835092252903717
1;23.8368549140389
1;23.872103868797918
2;23.872428232590348
1;23.87433173589856
1;23.875398722057874
1;23.875812712687686
1;23.877178454971606
1;23.87824117318628
3;23.9004046096875
1;23.90063934664255
1;23.905402372857715
1;24.056560168075073
1;24.182635252659335
1;24.188354298473246
1;24.19183694129724
1;24.192169840978945
2;24.196877383913826
1;24.200283203734347
15;24.206864374364983
1;24.20686864230962
1;24.212314539666746
1;24.212425506227316
18;24.21511004340414
1;24.21519540229689
1;24.215246617632534
1;24.215357584193104
1;24.21537465597165
1;24.215434407196575
2;24.215515498144683
1;24.215728895376543
1;24.216394694739954
1;24.21725255161204
1;24.220611424041554
1;24.22219909944661
1;24.222314333951815
1;24.22562199104568
1;24.24820795406599
1;24.249121294218362
1;24.252232625858912
1;24.254703765803878
1;24.25862173898087
32;24.259859442925674
1;24.259931997984506
1;24.26009844782536
1;24.260119787548543
1;24.260320380946496
1;24.260486830787347
1;24.260584993514005
5;24.2606874241853
1;24.26105873536874
1;24.261237989043504
1;24.261263596711327
1;24.2613062761577
1;24.262360458483098
1;24.262441549431205
1;24.26283846828247
1;24.263107348794616
1;24.26376888021339
1;24.265036459770652
1;24.265454718345104
1;24.265595560518133
1;24.266103445929964
1;24.266406469999207
1;24.274938091329066
1;24.276751967799893
1;24.27762689645053
1;24.287182824493325
1;24.287473044728657
1;24.287579743344587
1;24.541782793883627
1;24.55397631171224
1;24.55428787167076
1;24.554680522577385
2;24.561423875104232
1;24.561543377554077
1;24.568192835298905
1;24.57403138356266
3;24.58214047837343
1;24.58220022959835
6;24.58246484216586
1;24.58252886133542
1;24.582737990622643
1;24.58292578018668
1;24.58345927326634
1;24.583839120339054
1;24.598004428590073
1;24.599105558306483
1;24.604406345545943
1;24.608200548328455
1;24.625618030393056
1;24.625622298337696
1;24.644862192762403
1;24.646748624292066
1;24.65205367947616
1;24.652749354452034
3;24.659458563421786
1;24.659842678439137
1;24.66817797431568
1;24.66913826185906
1;24.891698770857552
3;24.896534352131553
1;24.912786685310188
1;24.921971302169542
2;24.92211214434257
1;24.92302975243958
1;24.92331997267491
1;24.933652666641684
1;24.934642829797525
1;24.937506620649117
2;24.956033768319404
1;24.957331223489128
1;24.967228587102902
1;24.972081240155454
1;24.980800651049346
1;24.982554776295256
1;24.99048461743126
1;24.990689478773845
1;24.9977998745395
9;24.998862592754175
1;24.998892468366634
1;24.999093061764587
1;24.999161348878783
1;24.99939608583383
1;25.004513351453888
1;25.00814110439555
1;25.009596473516847
1;25.029130856121526
1;25.276816755199487
1;25.276880774369047
1;25.312778456712927
1;25.338074564577887
2;25.346367181008056
2;25.348774301783465
1;26.37324319661883
1;26.38118584158875
1;26.382952770668567
3;26.39310621096058
1;26.3936012925385
1;26.397476586269118
1;26.404843058713006
1;26.405551537522786
1;26.408517759045672
1;26.410314563737955
1;26.411432765232913
1;26.41773225151749
1;26.419332730756455
1;26.42540174803062
2;26.43193170332561
2;26.4342107857619
1;26.44342527823371
1;26.443835000918888
13;26.445004417749495
1;26.445729968337826
1;26.45008327186782
1;26.47353135970485
1;26.483522618100643
3;26.4895446879838
1;26.49264321579044
1;26.497594031569644
1;26.5011065500061
1;26.5160486241811
3;26.740115717636538
1;26.752659206925404
1;26.765445969058597
1;26.766483079605447
1;26.76908652583417
1;26.76934687045704
1;26.77222773308718
1;26.774758624257068
1;26.776388979108496
14;26.783721307995286
1;26.784835241545608
13;26.793358326986187
1;26.80505676323688
1;26.80872719562491
1;26.829452334783383
1;26.831347302202317
1;26.834211093053913
1;26.838598540141
1;26.843523748252384
1;26.845269337609018
1;26.857514070773277
1;26.864859203493978
1;26.86708707059462
1;26.869784411605362
1;27.105502993920485
1;27.108059492758194
